x,y,percent
960,640,500
955.847,640.101,497.74
951.696,640.185,495.48
947.546,640.253,493.22
943.398,640.306,490.96
939.251,640.342,488.701
935.105,640.363,486.441
930.959,640.368,484.181
926.814,640.357,481.921
922.668,640.329,479.661
918.523,640.287,477.401
914.377,640.228,475.141
910.23,640.153,472.881
906.083,640.063,470.621
901.937,639.957,468.362
897.791,639.835,466.102
893.645,639.698,463.842
889.501,639.544,461.582
885.356,639.375,459.322
881.213,639.191,457.062
877.07,638.99,454.802
872.928,638.774,452.542
868.787,638.543,450.282
864.647,638.295,448.023
860.507,638.033,445.763
856.369,637.754,443.503
852.232,637.461,441.243
848.095,637.151,438.983
843.96,636.826,436.723
839.826,636.486,434.463
835.693,636.13,432.203
831.562,635.759,429.944
827.432,635.373,427.684
823.303,634.971,425.424
819.176,634.554,423.164
815.051,634.121,420.904
810.927,633.674,418.644
806.805,633.211,416.384
802.684,632.733,414.124
798.565,632.239,411.864
794.449,631.731,409.605
790.334,631.207,407.345
786.221,630.668,405.085
782.11,630.115,402.825
778.002,629.546,400.565
773.895,628.962,398.305
769.791,628.363,396.045
765.689,627.749,393.785
761.589,627.121,391.525
757.492,626.477,389.266
753.397,625.819,387.006
749.304,625.145,384.746
745.214,624.457,382.486
741.127,623.754,380.226
737.041,623.036,377.966
732.959,622.304,375.706
728.879,621.557,373.446
724.801,620.795,371.186
720.727,620.018,368.927
716.655,619.227,366.667
712.586,618.421,364.407
708.52,617.601,362.147
704.456,616.766,359.887
700.396,615.917,357.627
696.339,615.053,355.367
692.285,614.175,353.107
688.234,613.282,350.847
684.186,612.375,348.588
680.142,611.453,346.328
676.101,610.517,344.068
672.063,609.567,341.808
668.029,608.603,339.548
663.999,607.624,337.288
659.972,606.632,335.028
655.949,605.625,332.768
651.929,604.603,330.508
647.913,603.568,328.249
643.901,602.519,325.989
639.892,601.455,323.729
635.887,600.377,321.469
631.886,599.286,319.209
627.888,598.18,316.949
623.895,597.06,314.689
619.905,595.926,312.429
615.919,594.778,310.169
611.937,593.616,307.91
607.959,592.44,305.65
603.985,591.251,303.39
600.015,590.047,301.13
596.05,588.829,298.87
592.088,587.598,296.61
588.131,586.353,294.35
584.178,585.093,292.09
580.23,583.82,289.831
576.286,582.534,287.571
572.347,581.233,285.311
568.413,579.919,283.051
564.483,578.591,280.791
560.558,577.25,278.531
556.638,575.894,276.271
552.723,574.526,274.011
548.814,573.143,271.751
544.909,571.747,269.492
541.009,570.337,267.232
537.113,568.914,264.972
533.223,567.476,262.712
529.338,566.025,260.452
525.458,564.561,258.192
521.583,563.082,255.932
517.713,561.59,253.672
513.848,560.084,251.412
509.988,558.565,249.153
506.134,557.031,246.893
502.285,555.484,244.633
498.441,553.924,242.373
494.603,552.349,240.113
490.771,550.761,237.853
486.944,549.158,235.593
483.122,547.543,233.333
479.307,545.913,231.073
475.498,544.27,228.814
471.695,542.612,226.554
467.898,540.942,224.294
464.108,539.257,222.034
460.324,537.559,219.774
456.547,535.846,217.514
452.776,534.12,215.254
449.011,532.38,212.994
445.253,530.626,210.734
441.502,528.857,208.475
437.756,527.075,206.215
434.018,525.278,203.955
430.286,523.466,201.695
426.562,521.641,199.435
422.844,519.801,197.175
419.133,517.946,194.915
415.43,516.077,192.655
411.734,514.193,190.395
408.045,512.294,188.136
404.365,510.381,185.876
400.692,508.453,183.616
397.028,506.51,181.356
393.372,504.552,179.096
389.725,502.579,176.836
386.085,500.591,174.576
382.454,498.586,172.316
378.832,496.566,170.056
375.218,494.53,167.797
371.614,492.477,165.537
368.018,490.409,163.277
364.432,488.323,161.017
360.855,486.221,158.757
357.289,484.101,156.497
353.733,481.965,154.237
350.188,479.811,151.977
346.654,477.639,149.718
343.132,475.45,147.458
339.622,473.241,145.198
336.123,471.014,142.938
332.637,468.766,140.678
329.164,466.499,138.418
325.704,464.21,136.158
322.258,461.901,133.898
318.827,459.569,131.638
315.411,457.214,129.379
312.013,454.837,127.119
308.632,452.434,124.859
305.27,450.006,122.599
301.927,447.55,120.339
298.606,445.066,118.079
295.307,442.551,115.819
292.034,440.003,113.559
288.788,437.42,111.299
285.573,434.799,109.04
282.393,432.136,106.78
279.252,429.426,104.52
276.158,426.663,102.26
273.12,423.84,100
270.292,420.621,100.192
268.329,416.842,100.385
267.764,412.626,100.577
268.806,408.501,100.769
271.053,404.865,100.962
274.029,401.797,101.154
277.519,399.328,101.346
322.455,378.265,101.538
368.539,359.825,101.731
415.384,343.44,101.923
462.779,328.704,102.115
510.576,315.322,102.308
558.673,303.071,102.5
607.006,291.776,102.692
655.52,281.294,102.885
704.18,271.503,103.077
752.954,262.29,103.269
801.805,253.548,103.462
850.732,245.142,103.654
899.674,236.89,103.846
948.582,228.407,104.038
997.125,218.125,104.231
1005.32,215.827,104.423
1013.54,213.626,104.615
1021.79,211.538,104.808
1030.08,209.584,105
1038.4,207.798,105.192
1046.76,206.218,105.385
1055.17,204.911,105.577
1063.63,203.977,105.769
1072.13,203.597,105.962
1080.62,204.14,106.154
1088.76,206.52,106.346
1094.38,212.618,106.538
1094.41,221.018,106.731
1091.46,228.986,106.923
1087.37,236.445,107.115
1082.75,243.589,107.308
1077.88,250.575,107.5
1072.98,257.533,107.692
1068.4,264.709,107.885
1068,272.125,108.077
1068.89,272.401,108.269
1069.77,272.678,108.462
1070.66,272.953,108.654
1071.54,273.226,108.846
1072.43,273.496,109.038
1073.31,273.758,109.231
1074.2,274.013,109.423
1075.1,274.255,109.615
1076,274.482,109.808
1076.9,274.686,110
1077.81,274.863,110.192
1078.72,275.002,110.385
1079.64,275.095,110.577
1080.57,275.127,110.769
1081.49,275.084,110.962
1082.41,274.949,111.154
1083.3,274.709,111.346
1084.16,274.357,111.538
1084.96,273.896,111.731
1085.7,273.34,111.923
1086.38,272.707,112.115
1086.99,272.014,112.308
1087.54,271.273,112.5
1088.05,270.497,112.692
